Bubble Sort,10000,0.106504
Bubble Sort,100000,13.735401
Bubble Sort,1000000,1373.540100
Quick Sort,10000,0.001901
Quick Sort,100000,0.010324
Quick Sort,1000000,0.086135
Stooge Sort,10000,130.235578
Stooge Sort,100000,65248.024578
Stooge Sort,1000000,13023557.800000
Radix Sort,10000,0.001324
Radix Sort,100000,0.004514
Radix Sort,1000000,0.034364
Merge Sort,10000,0.002929
Merge Sort,100000,0.017286
Merge Sort,1000000,0.151534
Bitonic Sort,10000,0.005977
Bitonic Sort,100000,0.040251
Bitonic Sort,1000000,0.402105
